text,label
"I love this movie, it's amazing!",1
"Amazing film with great acting.",1
"Best movie ever, highly recommend!",1
"I really enjoyed this movie.",1
"Fantastic plot and direction.",1
"One of the best films of the year.",1
"Brilliant performances by the cast.",1
"So emotional and powerful.",1
"A masterpiece of modern cinema.",1
"Absolutely loved every minute of it.",1
"The movie is great and inspiring.",1
"Such a wonderful and touching story.",1
"I was moved to tears, literally.",1
"Perfect casting and writing.",1
"Visually stunning and deep.",1
"One of my favorite movies ever.",1
"Smart, funny, and heartwarming.",1
"Did not expect to enjoy it this much.",1
"Solid 10 out of 10.",1
"Beautifully shot and acted.",1
"Great pacing and suspense.",1
"Emotional payoff was perfect.",1
"Hilarious and heartbreaking.",1
"Perfect balance of action and drama.",1
"Script was tight and engaging.",1
"Every actor brought their A-game.",1
"Stunning visuals and score.",1
"Thought-provoking themes.",1
"Exactly what I needed to see.",1
"Uplifting and inspiring.",1
"This movie was terrible and boring.",0
"Worst movie I have ever seen.",0
"I hated this film so much.",0
"Bad acting and worse story.",0
"Absolutely awful experience.",0
"Painfully slow and uninteresting.",0
"Terrible script and poor direction.",0
"So bad it's almost unwatchable.",0
"A complete waste of time.",0
"I regret watching this movie.",0
"Disappointing and dull.",0
"Felt like a chore to finish.",0
"Plot holes everywhere.",0
"Acting was wooden and stiff.",0
"Terrible ending ruined everything.",0
"Couldn't connect with any character.",0
"Too long and pointless.",0
"Music was annoying.",0
"Editing was a mess.",0
"Skip this one, not worth it.",0
"Story made zero sense.",0
"Characters are unbearable.",0
"Bad CGI ruined the immersion.",0
"Predictable and cliché.",0
"Felt like a cheap knockoff.",0
"Director should apologize.",0
"Waste of talented actors.",0
"Nothing new or interesting here.",0
"Charming and delightful.",1
"So much fun to watch.",1
"Engaging from start to finish.",1
"Beautiful message about life.",1
"Incredible attention to detail.",1
"Masterful direction.",1
"One of the best endings ever.",1
"So underrated, go watch it.",1
"Pure entertainment.",1
"Left me speechless.",1
"Unwatchable due to bad editing.",0
"Acting feels like a high school play.",0
"Zero character development.",0
"Plot is all over the place.",0
"Felt like a cash grab.",0
"Not scary, not funny, just bad.",0
"Worst sequel ever made.",0
"Should have stayed in development hell.",0
"Do yourself a favor and skip it.",0
