review,sentiment
"This movie was amazing and fantastic",positive
"I really loved this movie",positive
"Absolutely wonderful film",positive
"This was one of the best movies ever",positive
"Amazing acting and story",positive
"I enjoyed every moment",positive
"Brilliant movie",positive
"Very emotional and inspiring",positive
"I would watch it again",positive
"Excellent film",positive
"This movie was terrible",negative
"I hated this movie",negative
"Worst film ever",negative
"Very boring and slow",negative
"Terrible acting",negative
"I regret watching this",negative
"Awful experience",negative
"Bad screenplay and acting",negative
"Completely disappointing",negative
"Not worth the time",negative
